time,open,high,low,close,ATR,EMA,EMA,Hiden bar color (Open),Hiden bar color (High,Hiden bar color (Low),Hiden bar color (Close),EMA,Volume,Volume MA,Previous Cumulative Volume,Previous Day&#039;s Volume,Cumulative Volume,Previous Cumulative Volume Line,Cumulative Volume Ratio
2020-11-06T12:15:00Z,7.42,7.47,7.42,7.45,NaN,NaN,NaN,7.42,7.47,7.42,7.45,7.440782262510728,1550,1471.3,2774,57615,3340,2774,1
2020-11-06T12:30:00Z,7.44,7.46,7.44,7.46,NaN,NaN,NaN,7.44,7.46,7.44,7.46,7.443738837509078,1470,1486.5,4162.5,57615,4810,4162.5,1
2020-11-06T12:45:00Z,7.47,7.48,7.47,7.48,0.05492754415804033,NaN,NaN,7.47,7.48,7.47,7.48,7.449317477892297,630,1451.4,7195.5,57615,5440,NaN,0
2020-11-06T13:00:00Z,7.49,7.52,7.49,7.49,NaN,NaN,NaN,7.49,7.52,7.49,7.49,7.455576327447329,2170,1491,8560,57615,7610,NaN,0
2020-11-06T13:15:00Z,7.48,7.48,7.46,7.46,NaN,NaN,NaN,7.48,7.48,7.46,7.46,7.456256892455432,435,1483.7,10366.5,57615,8045,NaN,0
2020-11-06T13:30:00Z,7.47,7.49,7.47,7.48,NaN,NaN,NaN,7.47,7.49,7.47,7.48,7.4599096782315195,2795,1530.5,12400.5,57615,10840,NaN,0
2020-11-06T13:45:00Z,7.48,7.48,7.44,7.44,0.05948617249294194,NaN,NaN,7.48,7.48,7.44,7.44,7.456846650811285,1105,1510.3,14545.5,57615,11945,NaN,0
2020-11-06T14:00:00Z,7.44,7.48,7.43,7.45,NaN,NaN,NaN,7.44,7.48,7.43,7.45,7.455793319917242,1045,1521.3,15955.8,57615,12990,NaN,0
2020-11-06T14:15:00Z,7.44,7.47,7.43,7.47,NaN,NaN,NaN,7.44,7.47,7.43,7.47,7.457978963006897,1990,1557.9,19833.3,57615,14980,NaN,0
2020-11-06T14:30:00Z,7.47,7.48,7.46,7.46,NaN,NaN,NaN,7.47,7.48,7.46,7.46,7.458289891775067,1465,1559.1,22800.3,57615,16445,NaN,0
2020-11-06T14:45:00Z,7.46,7.49,7.46,7.48,0.0595795956760435,NaN,NaN,7.46,7.49,7.46,7.48,7.461629908425056,2835,1571.2,25684.3,57615,19280,NaN,0
2020-11-06T15:00:00Z,7.48,7.48,7.46,7.47,NaN,NaN,NaN,7.48,7.48,7.46,7.47,7.462917614821201,530,1570.7,28175.8,57615,19810,NaN,0
2020-11-06T15:15:00Z,7.46,7.47,7.46,7.46,NaN,NaN,NaN,7.46,7.47,7.46,7.46,7.462468751002555,1935,1606.2,30260.8,57615,21745,NaN,0
2020-11-06T15:30:00Z,7.46,7.46,7.44,7.45,NaN,NaN,NaN,7.46,7.46,7.44,7.45,7.460550481617546,1300,1620.3,32905.3,57615,23045,NaN,0
2020-11-06T15:45:00Z,7.45,7.45,7.44,7.44,0.05601966918949014,NaN,NaN,7.45,7.45,7.44,7.44,7.457388869061001,65,1614.5,33926.3,57615,23110,NaN,0
2020-11-06T16:00:00Z,7.44,7.45,7.43,7.43,NaN,NaN,NaN,7.44,7.45,7.43,7.43,7.45317519689777,665,1613.9,34869.8,57615,23775,NaN,0
2020-11-06T16:15:00Z,7.42,7.42,7.4,7.4,NaN,NaN,NaN,7.42,7.42,7.4,7.4,7.444994397375036,2200,1630.8,35679.8,57615,25975,NaN,0
2020-11-06T16:30:00Z,7.4,7.41,7.39,7.41,NaN,NaN,NaN,7.4,7.41,7.39,7.41,7.439610643932723,3125,1664,37494.8,57615,29100,NaN,0
2020-11-06T16:45:00Z,7.41,7.41,7.4,7.41,0.05674336570049202,NaN,NaN,7.41,7.41,7.4,7.41,7.435055160250766,605,1594.8,38677.3,57615,29705,NaN,0
2020-11-06T17:00:00Z,7.4,7.4,7.38,7.38,NaN,NaN,NaN,7.4,7.4,7.38,7.38,7.426585135596802,1010,1606.1,39648.8,57615,30715,NaN,0
2020-11-06T17:15:00Z,7.39,7.4,7.38,7.38,NaN,NaN,NaN,7.39,7.4,7.38,7.38,7.419418191658832,1505,1617.2,41386.8,57615,32220,NaN,0
2020-11-06T17:30:00Z,7.38,7.39,7.35,7.37,NaN,NaN,NaN,7.38,7.39,7.35,7.37,7.4118153929420885,2030,1607.6,42839.8,57615,34250,NaN,0
2020-11-06T17:45:00Z,7.37,7.37,7.35,7.35,0.05733548102767538,NaN,NaN,7.37,7.37,7.35,7.35,7.402305332489459,795,1591.2,43649.3,57615,35045,NaN,0
2020-11-06T18:00:00Z,7.35,7.37,7.35,7.36,NaN,NaN,NaN,7.35,7.37,7.35,7.36,7.395796819798774,1520,1607.1,44592.3,57615,36565,NaN,0
2020-11-06T18:15:00Z,7.36,7.37,7.34,7.34,NaN,NaN,NaN,7.36,7.37,7.34,7.34,7.3872126936758855,950,1534.1,46607.3,57615,37515,NaN,0
