time,open,high,low,close,ATR,EMA,EMA,Hiden bar color (Open),Hiden bar color (High,Hiden bar color (Low),Hiden bar color (Close),EMA,Volume,Volume MA,Previous Cumulative Volume,Previous Day&#039;s Volume,Cumulative Volume,Previous Cumulative Volume Line,Cumulative Volume Ratio
2021-02-01T16:15:00Z,4.89,4.89,4.88,4.885,NaN,NaN,NaN,4.89,4.89,4.88,4.885,4.863711218354337,2850,9028.8,246833,302365,193140,NaN,0
2021-02-01T16:30:00Z,4.885,4.895,4.885,4.895,NaN,NaN,NaN,4.885,4.895,4.885,4.895,4.868524877069054,1855,8954.5,263717.5,302365,194995,NaN,0
2021-02-01T16:45:00Z,4.895,4.91,4.885,4.91,0.04948727152102248,NaN,NaN,4.895,4.91,4.885,4.91,4.874905665212276,12200,9052.7,271465.5,302365,207195,NaN,0
2021-02-01T17:00:00Z,4.905,4.915,4.9,4.91,NaN,NaN,NaN,4.905,4.915,4.9,4.91,4.880304793641157,4815,8782.8,277266.5,302365,212010,NaN,0
2021-02-01T17:15:00Z,4.91,4.925,4.905,4.915,NaN,NaN,NaN,4.91,4.925,4.905,4.915,4.885642517696364,10620,8829.6,286054,302365,222630,NaN,0
2021-02-01T17:30:00Z,4.915,4.915,4.91,4.91,NaN,NaN,NaN,4.915,4.915,4.91,4.91,4.889389822666154,2970,8796.1,292243,302365,225600,NaN,0
2021-02-01T17:45:00Z,4.91,4.915,4.89,4.89,0.04685322215356388,NaN,NaN,4.91,4.915,4.89,4.89,4.889483696102131,12250,8897.1,304237.5,302365,237850,NaN,0
2021-02-01T18:00:00Z,4.89,4.89,4.885,4.885,NaN,NaN,NaN,4.89,4.89,4.885,4.885,4.888793896701803,4705,8961.7,319341.5,302365,242555,NaN,0
2021-02-01T18:15:00Z,4.885,4.885,4.84,4.85,NaN,NaN,NaN,4.885,4.885,4.84,4.85,4.882825604901526,10950,9129.6,331619.5,302365,253505,NaN,0
2021-02-01T18:30:00Z,4.855,4.87,4.855,4.865,NaN,NaN,NaN,4.855,4.87,4.855,4.865,4.880083204147445,6065,9098.3,343249.5,302365,259570,NaN,0
